Carrier Code,Date,Flight_Number,Tail Number,Origin Airport,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time (Minutes),Actual Elapsed Time (Minutes),Arrival Delay (Minutes),Wheels-on Time,Taxi-In time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes),month,org_clouds,org_pres,org_snow,org_temp,org_solar_rad,org_wind_spd,dest_clouds,dest_pres,dest_snow,dest_temp,dest_solar_rad,dest_wind_spd
UA,2022-10-26,2198,N845UA,IAD,23:31,23:23,71,67,-8,23:18,5,0,0,0,0,0,October,90,1000.9,0,16.4,68.7,2.1,68,992.5,0,19.2,128.7,4.4
UA,2021-10-27,2038,N489UA,ORD,21:02,20:53,117,112,-9,20:47,6,0,0,0,0,0,October,58,992.9,0,10.2,130.8,4.6,63,996.5,0,10.7,99.1,3.5
UA,2022-10-27,604,N852UA,DEN,15:09,15:13,200,207,4,15:08,5,0,0,0,0,0,October,69,825.3,61,4.5,45.4,4.3,66,1008.4,0,10.9,71.3,5
UA,2022-10-27,1917,N803UA,ORD,16:47,16:37,107,102,-10,16:32,5,0,0,0,0,0,October,77,1004.2,0,8.7,82.6,3.8,66,1008.4,0,10.9,71.3,5
UA,2022-10-27,1998,N830UA,ORD,21:18,21:03,117,107,-15,20:59,4,0,0,0,0,0,October,77,1004.2,0,8.7,82.6,3.8,66,1008.4,0,10.9,71.3,5
UA,2022-10-27,2198,N813UA,IAD,23:31,23:22,71,68,-9,23:18,4,0,0,0,0,0,October,22,1010.4,0,15.8,163.9,2.8,66,1008.4,0,10.9,71.3,5
UA,2021-10-28,2038,N401UA,ORD,21:02,21:58,117,100,56,21:54,4,6,0,0,0,50,October,99,981.6,0,11.5,28.2,6.9,28,998.6,0,8.2,135.6,2.2
UA,2022-10-28,360,N37470,EWR,19:02,18:47,82,72,-15,18:44,3,0,0,0,0,0,October,68,1031,0,11.4,41.3,4.6,96,1018.2,0,5.1,37,2
UA,2022-10-28,604,N408UA,DEN,15:09,16:01,200,198,52,15:57,4,42,0,0,0,10,October,4,831.8,0,6.3,160.9,2.3,96,1018.2,0,5.1,37,2
UA,2022-10-28,1917,N829UA,ORD,16:47,16:50,107,115,3,16:24,26,0,0,0,0,0,October,33,1006.7,0,10,148.4,3.3,96,1018.2,0,5.1,37,2
UA,2022-10-28,1998,N882UA,ORD,21:18,21:06,117,117,-12,21:02,4,0,0,0,0,0,October,33,1006.7,0,10,148.4,3.3,96,1018.2,0,5.1,37,2
UA,2022-10-28,2198,N845UA,IAD,23:31,23:10,71,63,-21,23:07,3,0,0,0,0,0,October,68,1020.2,0,12.1,55.6,1.9,96,1018.2,0,5.1,37,2
UA,2021-10-29,702,N33209,IAD,23:44,23:45,84,75,1,23:39,6,0,0,0,0,0,October,98,1001.8,0,15.4,31.8,2.2,47,994.8,0,9.1,127.4,5.4
UA,2021-10-29,2038,N473UA,ORD,21:02,20:51,117,104,-11,20:47,4,0,0,0,0,0,October,100,979.9,0,12.4,25,6.9,47,994.8,0,9.1,127.4,5.4
UA,2022-10-29,604,N836UA,DEN,15:09,15:07,200,203,-2,15:03,4,0,0,0,0,0,October,20,830.5,0,8.9,152.9,2.4,6,1015.3,0,7.5,137.6,1.9
UA,2022-10-29,1917,N829UA,ORD,16:47,16:34,107,99,-13,16:28,6,0,0,0,0,0,October,14,1003.8,0,11,146.1,1.6,6,1015.3,0,7.5,137.6,1.9
UA,2022-10-29,2198,N447UA,IAD,23:31,23:16,71,66,-15,23:12,4,0,0,0,0,0,October,37,1020.2,0,12.3,158.1,1.7,6,1015.3,0,7.5,137.6,1.9
UA,2021-10-30,2038,N465UA,ORD,21:02,20:48,117,102,-14,20:44,4,0,0,0,0,0,October,84,983.3,0,12.2,94.7,6.2,82,988.3,0,10.3,59.9,5.1
UA,2022-10-30,604,N825UA,DEN,14:57,14:49,194,190,-8,14:45,4,0,0,0,0,0,October,62,828.1,0,8.5,73.1,2.3,41,1006.8,0,8.8,120.7,2.8
UA,2022-10-30,1998,N438UA,ORD,21:04,20:48,114,98,-16,20:44,4,0,0,0,0,0,October,99,994.7,0,11.5,36.8,1.8,41,1006.8,0,8.8,120.7,2.8
UA,2021-10-31,2000,N831UA,ORD,20:51,20:54,111,107,3,20:48,6,0,0,0,0,0,October,28,991.8,0,9.7,86.7,4.8,89,987,0,11.4,31.2,4.6
UA,2022-10-31,604,N873UA,DEN,14:57,15:11,194,200,14,15:07,4,0,0,0,0,0,October,1,824.6,0,11.3,155.2,3.5,77,999.5,0,11.3,66.4,2.2
UA,2022-10-31,1998,N422UA,ORD,21:04,20:59,114,112,-5,20:54,5,0,0,0,0,0,October,88,988.9,0,12.4,22.5,2.3,77,999.5,0,11.3,66.4,2.2
UA,2021-11-01,2000,N835UA,ORD,20:51,20:36,111,99,-15,20:32,4,0,0,0,0,0,November,52,1002.9,0,5.9,39.9,3.8,41,1001,0,10.6,111.9,6.7
UA,2022-11-01,604,N809UA,DEN,14:57,15:01,194,201,4,14:55,6,0,0,0,0,0,November,33,823.5,0,12.2,138.9,2.1,88,1001.2,0,14.9,49.6,3
